#Time(s) Intensity                                                                                  
 70200.00000 27539.00000
 70220.00000 27189.00000
 70240.00000 26823.00000
 70260.00000 26668.00000
 70280.00000 26577.00000
 70300.00000 26534.00000
 70320.00000 26321.00000
 70340.00000 26110.00000
 70360.00000 25987.00000
 70380.00000 26057.00000
 70400.00000 26155.00000
 70420.00000 26348.00000
 70440.00000 26620.00000
 70460.00000 26848.00000
 70480.00000 27045.00000
 70500.00000 27118.00000
 70520.00000 27097.00000
 70540.00000 27186.00000
 70560.00000 27304.00000
 70580.00000 26897.00000
 70600.00000 25007.00000
 70620.00000 29226.00000
 70640.00000 25852.00000
 70660.00000 26157.00000
 70680.00000 26548.00000
 70700.00000 27285.00000
 70720.00000 26786.00000
 70740.00000 27057.00000
 70760.00000 27479.00000
 70780.00000 28089.00000
 70800.00000 27807.00000
 70820.00000 27803.00000
 70840.00000 28648.00000
 70860.00000 27447.00000
 70880.00000 27483.00000
 70900.00000 26915.00000
 70920.00000 26685.00000
 70940.00000 26049.00000
 70960.00000 25699.00000
 70980.00000 26009.00000
 71000.00000 25664.00000
 71020.00000 25821.00000
 71040.00000 25645.00000
 71060.00000 26146.00000
 71080.00000 26308.00000
 71100.00000 27213.00000
 71120.00000 26637.00000
 71140.00000 28896.00000
 71160.00000 22531.00000
 71180.00000 34288.00000
 71200.00000 26244.00000
 71220.00000 24748.00000
 71240.00000 28560.00000
 71260.00000 28958.00000
 71280.00000 25972.00000
 71300.00000 26932.00000
 71320.00000 26463.00000
 71340.00000 24724.00000
 71360.00000 25487.00000
 71380.00000 26291.00000
 71400.00000 27365.00000
 71420.00000 26138.00000
