time(sec)	intensity(nT)
8923.0	52520.9	
8922.5	52470.1	
8922.0	52434.9	
8921.5	52442.6	
8921.0	52456.7	
8920.5	52471.1	
8920.0	52469.8	
8919.5	52449.2	
8919.0	52412.7	
8918.5	52371.1	
8918.0	52355.2	
8917.5	52360.1	
8917.0	52369.4	
8916.5	52377.3	
8916.0	52383.4	
8915.5	52388.2	
8915.0	52392.7	
8914.5	52392.0	
8914.0	52373.4	
8913.5	52351.8	
8913.0	52334.9	
8912.5	52322.3	
8912.0	52302.3	
8911.5	52278.2	
8911.0	52271.5	
8910.5	52271.0	
8910.0	52271.1	
8909.5	52279.7	
8909.0	52290.5	
8908.5	52285.7	
8908.0	52265.0	
8907.5	52245.2	
8907.0	52235.1	
8906.5	52233.0	
8906.0	52230.1	
8905.5	52230.7	
8905.0	52228.2	
8904.5	52235.9	
8904.0	52238.8	
8903.5	52242.7	
8903.0	52246.1	
8902.5	52237.2	
8902.0	52233.0	
8901.5	52245.1	
8901.0	52257.5	
8900.5	52273.3	
8900.0	52279.4	
8899.5	52283.3	
8899.0	52290.1	
8898.5	52301.8	
8898.0	52320.5	
8897.5	52323.9	
8897.0	52315.6	
8896.5	52301.6	
8896.0	52321.3	
8895.5	52365.3	
8895.0	52362.9	
8894.5	52354.1	
8894.0	52348.9	
8893.5	52346.2	
8893.0	52342.9	
8892.5	52344.0	
8892.0	52350.3	
8891.5	52355.8	
8891.0	52359.1	
8890.5	52357.0	
8890.0	52355.1	
8889.5	52332.9	
8889.0	52279.4	
8888.5	52252.8	
8888.0	52244.1	
8887.5	52246.3	
8887.0	52236.4	
8886.5	52234.2	
8886.0	52264.2	
8885.5	52278.5	
8885.0	52297.2	
8884.5	52327.4	
8884.0	52353.7	
8883.5	52354.3	
8883.0	52356.8	
8882.5	52360.0	
8882.0	52357.0	
8881.5	52362.9	
8881.0	52350.7	
8880.5	52350.9	
8880.0	52358.3	
8879.5	52351.5	
8879.0	52362.0	
8878.5	52376.6	
8878.0	52382.7	
8877.5	52391.1	
8877.0	52410.8	
8876.5	52438.7	
8876.0	52470.4	
8875.5	52486.0	
8875.0	52460.5	
8874.5	52443.9	
8874.0	52458.6	
8873.5	52495.7	
8873.0	52527.2	
8872.5	52546.1	
8872.0	52557.1	
8871.5	52580.1	
8871.0	52592.5	
8870.5	52582.1	
8870.0	52573.5	
8869.5	52564.1	
8869.0	52556.4	
8868.5	52546.8	
8868.0	52556.3	
8867.5	52576.6	
8867.0	52587.5	
8866.5	52545.0	
8866.0	52486.5	
8865.5	52460.1	
8865.0	52446.2	
8864.5	52443.5	
8864.0	52429.2	
8863.5	52382.7	
8863.0	52329.4	
8862.5	52311.0	
8862.0	52297.5	
8861.5	52277.6	
8861.0	52289.4	
8860.5	52297.6	
8860.0	52300.2	
8859.5	52306.4	
8859.0	52305.7	
8858.5	52303.8	
8858.0	52304.9	
8857.5	52315.5	
8857.0	52344.0	
8856.5	52390.8	
8856.0	52450.5	
8855.5	52488.8	
8855.0	52487.5	
8854.5	52477.1	
8854.0	52455.2	
8853.5	52459.3	
8853.0	52476.6	
8852.5	52494.7	
8852.0	52505.7	
8851.5	52497.5	
8851.0	52486.5	
8850.5	52475.3	
8850.0	52474.2	
8849.5	52467.9	
8849.0	52434.1	
8848.5	52375.6	
8848.0	52347.8	
8847.5	52330.4	
8847.0	52318.1	
8846.5	52306.8	
8846.0	52292.2	
8845.5	52291.8	
8845.0	52294.5	
8844.5	52317.4	
8844.0	52332.9	
8843.5	52335.5	
8843.0	52333.9	
8842.5	52329.1	
8842.0	52326.6	
8841.5	52332.3	
8841.0	52362.5	
8840.5	52382.9	
8840.0	52382.3	
8839.5	52383.8	
8839.0	52382.3	
8838.5	52389.3	
8838.0	52391.1	
8837.5	52373.6	
8837.0	52359.1	
8836.5	52353.1	
8836.0	52356.9	
8835.5	52361.4	
8835.0	52366.0	
8834.5	52384.6	
8834.0	52438.0	
8833.5	52485.4	
8833.0	52509.2	
8832.5	52526.5	
8832.0	52529.1	
8831.5	52532.4	
8831.0	52528.4	
8830.5	52522.0	
8830.0	52514.2	
8829.5	52507.3	
8829.0	52498.7	
8828.5	52490.3	
8828.0	52478.1	
8827.5	52449.1	
8827.0	52425.0	
8826.5	52415.5	
8826.0	52437.5	
8825.5	52465.3	
8825.0	52463.6	
8824.5	52443.1	
8824.0	52421.1	
8823.5	52410.7	
8823.0	52395.6	
8822.5	52364.7	
8822.0	52345.3	
8821.5	52322.5	
8821.0	52306.0	
8820.5	52284.6	
8820.0	52264.4	
8819.5	52245.0	
8819.0	52228.3	
8818.5	52226.7	
8818.0	52225.8	
8817.5	52229.5	
8817.0	52223.1	
8816.5	52198.0	
8816.0	52152.0	
8815.5	52147.5	
8815.0	52148.5	
8814.5	52147.8	
8814.0	52139.4	
8813.5	52124.2	
8813.0	52111.6	
8812.5	52104.3	
8812.0	52099.3	
8811.5	52094.6	
8811.0	52092.7	
8810.5	52088.2	
8810.0	52089.0	
8809.5	52095.1	
8809.0	52103.3	
8808.5	52114.6	
8808.0	52131.8	
8807.5	52152.1	
8807.0	52171.7	
8806.5	52185.4	
8806.0	52202.7	
8805.5	52220.9	
8805.0	52243.9	
8804.5	52281.8	
8804.0	52332.5	
8803.5	52393.2	
8803.0	52411.6	
8802.5	52417.6	
8802.0	52425.3	
8801.5	52435.1	
8801.0	52437.6	
8800.5	52432.5	
8800.0	52420.6	
8799.5	52413.0	
8799.0	52426.9	
8798.5	52448.7	
8798.0	52464.8	
8797.5	52473.3	
8797.0	52475.1	
8796.5	52472.2	
8796.0	52452.7	
8795.5	52432.2	
8795.0	52406.9	
8794.5	52379.7	
8794.0	52359.5	
8793.5	52347.9	
8793.0	52353.8	
8792.5	52364.4	
8792.0	52367.8	
8791.5	52361.8	
8791.0	52365.2	
8790.5	52364.8	
8790.0	52360.7	
8789.5	52354.1	
8789.0	52349.1	
8788.5	52346.5	
8788.0	52361.6	
8787.5	52411.1	
8787.0	52434.2	
8786.5	52416.9	
8786.0	52411.6	
8785.5	52416.3	
8785.0	52420.2	
8784.5	52414.9	
8784.0	52400.7	
8783.5	52386.7	
8783.0	52387.5	
8782.5	52397.3	
8782.0	52410.3	
8781.5	52421.0	
8781.0	52414.8	
8780.5	52415.2	
8780.0	52417.2	
8779.5	52424.0	
8779.0	52444.3	
8778.5	52452.9	
8778.0	52455.8	
8777.5	52455.6	
8777.0	52449.6	
8776.5	52436.3	
8776.0	52417.4	
8775.5	52384.4	
8775.0	52329.3	
8774.5	52293.5	
8774.0	52275.9	
8773.5	52293.8	
8773.0	52356.6	
8772.5	52388.6	
8772.0	52412.9	
8771.5	52408.8	
8771.0	52417.6	
8770.5	52429.8	
8770.0	52441.4	
8769.5	52448.0	
8769.0	52457.5	
8768.5	52469.7	
8768.0	52480.4	
8767.5	52485.5	
8767.0	52459.7	
